距离,实掏,低消,返还,返率,余量,店名
2.4k,0.0,10.0,10.0,1.0,2,拌饭叔叔·佳木斯特色拌饭(河北涿州店)
0.0k,0.0,8.0,8.0,1.0,20,茶颜悦色
0.0k,0.0,8.0,8.0,1.0,20,华莱士·全鸡汉堡
0.0k,0.0,8.0,8.0,1.0,20,瑞幸咖啡
2.2k,5.0,20.0,15.0,0.75,5,果辻果切·果乐蔬（清凉寺店）
2.3k,5.0,15.0,10.0,0.6666666666666666,3,武小五面馆·热干面·肉酱面（涿州店）
1.7k,6.0,18.0,12.0,0.6666666666666666,5,李尽欢麻辣香锅·麻辣拌(宜家旺店)
1.7k,8.0,20.0,12.0,0.6,2,渝味鸡公煲（鸡爪煲·牛蛙煲）
1.9k,10.0,20.0,10.0,0.5,5,湘遇恨晚川湘菜
1.9k,10.0,20.0,10.0,0.5,3,锅里香家常菜·家常好味道（涿州店）
1.9k,14.571428571428573,,14.0,0.49,17,Bigbear韩国炸鸡（涿州市店）
2.3k,43.142857142857146,,14.0,0.245,26,7个堡·炙烤牛肉汉堡（玫瑰大街店）
2.7k,49.0,100.0,51.0,0.51,5,贝壳风铃·冰淇淋蛋糕（涿州店）
1.1k,52.66666666666667,,14.0,0.21,4,Obligi Chicken韩式炸鸡(职教中心店)
0.9k,52.66666666666667,,14.0,0.21,5,鲜啤福鹿家(名流枫景店)
2.1k,52.66666666666667,,14.0,0.21,5,茉莉奶白（保定涿州惠友钻石广场店）
2.4k,52.66666666666667,,14.0,0.21,2,米已成粥（槐林西街店）
2.7k,52.66666666666667,,14.0,0.21,5,熊家无二·韩式炸鸡（涿州广场店）
2.4k,52.66666666666667,,14.0,0.21,2,妙侬粥店（腊八粥）
2.7k,52.66666666666667,,14.0,0.21,2,粥员外（涿州店）
2.4k,79.0,,21.0,0.21,2,广城记·港式茶餐厅（涿州店）
2.5k,184.33333333333334,,49.0,0.21,2,可可同学（特调动物奶油·木糖醇·生日蛋糕·涿州店）
2.2k,184.33333333333334,,49.0,0.21,25,肯豆日记·生日蛋糕·冰淇淋·木糖醇·动物奶油（保定涿州店）
